,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,189.86,2017-02-28 20:55:00,189.81,2017-02-28 21:00:00,189.81,2017-02-28 21:00:00,189.81,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,189.86,2017-02-28 20:55:00,189.81,2017-02-28 21:00:00,189.81,2017-02-28 21:00:00,189.81,2017-02-28 21:00:00
2,2,2017-02-28 20:30:00,General Dynamics Awarded Defense Intelligence Agency's Command IT Support Contract,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/general-dynamics-awarded-defense-intelligence-203000316.html,189.59,2017-02-28 20:30:00,189.61,2017-02-28 20:50:00,189.81,2017-02-28 21:00:00,189.81,2017-02-28 21:00:00
3,3,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,190.41,2017-02-28 17:06:00,189.82,2017-02-28 17:26:00,190.24,2017-02-28 18:06:00,189.94,2017-02-28 19:06:00
4,4,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,190.65,2017-02-28 16:46:00,190.41,2017-02-28 17:06:00,190.17,2017-02-28 17:46:00,190.08,2017-02-28 18:46:00
5,5,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,190.62,2017-02-28 16:43:00,190.61,2017-02-28 17:02:00,190.09,2017-02-28 17:42:00,190.08,2017-02-28 18:42:00
6,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,190.41,2017-02-27 20:37:00,190.35,2017-02-27 20:58:00,190.4,2017-02-27 21:00:00,190.4,2017-02-27 21:00:00
7,1,2017-02-27 19:58:10,Trump pledges ?historic? defense budget increases. Here?s what that means for defense companies.,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=13cj1f9ap/*http://www.bizjournals.com/washington/news/2017/02/27/trump-pledges-historic-defense-budget-increases.html?ana=yahoo,190.25,2017-02-27 19:58:00,190.56,2017-02-27 20:18:00,190.35,2017-02-27 20:58:00,190.4,2017-02-27 21:00:00
8,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,189.94,2017-02-27 17:26:00,189.79,2017-02-27 17:47:00,189.89,2017-02-27 18:27:00,189.99,2017-02-27 19:27:00
9,3,2017-02-27 16:05:34,Trump stokes rally in defense stocks toward record highs,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=EB045C83-F76F-4FF9-9DCC-ABB6AA234321&siteid=yhoof2,190.01,2017-02-27 16:06:00,189.7,2017-02-27 16:26:00,190.04,2017-02-27 17:06:00,189.8,2017-02-27 18:06:00
