,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,22.88,2017-02-28 20:55:00,22.85,2017-02-28 21:00:00,22.85,2017-02-28 21:00:00,22.85,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,22.88,2017-02-28 20:55:00,22.85,2017-02-28 21:00:00,22.85,2017-02-28 21:00:00,22.85,2017-02-28 21:00:00
2,2,2017-02-28 19:53:36,"Gold prices end lower, but tally a second straight monthly gain",http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=DA5B2F3C-FDAF-11E6-AA05-2D5F757E4B72&siteid=yhoof2,22.66,2017-02-28 19:54:00,22.83,2017-02-28 20:14:00,22.87,2017-02-28 20:54:00,22.85,2017-02-28 21:00:00
3,3,2017-02-28 19:08:00,"Gold Miners Slip, Yamana Target Lowered",http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=132es4gj2/*http://blogs.barrons.com/emergingmarketsdaily/2017/02/28/gold-miners-slip-yamana-target-lowered/?mod=yahoobarrons&ru=yahoo,22.83,2017-02-28 19:08:00,22.85,2017-02-28 19:28:00,22.77,2017-02-28 20:08:00,22.85,2017-02-28 21:00:00
4,4,2017-02-28 18:20:00,"Gold: 'Trumped Up, Trickle Down' Argument is Playing Out",http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=138v7k4r1/*http://blogs.barrons.com/focusonfunds/2017/02/28/gold-trumped-up-trickle-down-argument-is-playing-out/?mod=yahoobarrons&ru=yahoo,23.07,2017-02-28 18:20:00,22.77,2017-02-28 18:40:00,22.88,2017-02-28 19:20:00,22.87,2017-02-28 20:20:00
5,5,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,23.18,2017-02-28 17:07:00,23.32,2017-02-28 17:27:00,23.21,2017-02-28 18:06:00,22.82,2017-02-28 19:06:00
6,6,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,23.29,2017-02-28 16:46:00,23.22,2017-02-28 17:05:00,23.25,2017-02-28 17:46:00,22.78,2017-02-28 18:46:00
7,7,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,23.28,2017-02-28 16:41:00,23.24,2017-02-28 17:02:00,23.27,2017-02-28 17:42:00,22.87,2017-02-28 18:42:00
8,8,2017-02-28 15:36:04,What Boosted Newmont Mining?s Free Cash Flow in 2016?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12f1r6qds/*http://marketrealist.com/2017/02/aided-newmonts-superior-free-cash-flow-2016/?utm_source=yahoo&utm_medium=feed,23.22,2017-02-28 15:36:00,23.21,2017-02-28 15:56:00,23.26,2017-02-28 16:36:00,23.3,2017-02-28 17:36:00
9,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,22.84,2017-02-27 20:38:00,22.81,2017-02-27 20:58:00,22.84,2017-02-27 21:00:00,22.84,2017-02-27 21:00:00
10,1,2017-02-27 19:53:15,Gold prices eke out 3rd gain in a row,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=B975D9D2-FCDF-11E6-B497-45A446776EAA&siteid=yhoof2,23.54,2017-02-27 19:53:00,23.37,2017-02-27 20:13:00,22.78,2017-02-27 20:53:00,22.84,2017-02-27 21:00:00
11,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,24.39,2017-02-27 17:27:00,24.34,2017-02-27 17:47:00,24.01,2017-02-27 18:26:00,23.82,2017-02-27 19:27:00
12,3,2017-02-27 17:22:19,Are Gold and Volatility Moving Together?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12bt2s41h/*http://marketrealist.com/2017/02/are-gold-and-volatility-moving-together/?utm_source=yahoo&utm_medium=feed,24.4,2017-02-27 17:23:00,24.33,2017-02-27 17:42:00,24.08,2017-02-27 18:22:00,23.83,2017-02-27 19:22:00
